empresa,estado_matriz,municipio_matriz,telefono,extension,uuid
SVA CAPITAL,,,,,4d5p5
MADERAS JUAREZ,,,,,4o1l7
SEVEN ELEVEN,,,,,8g7u1
GRUPO CASCO,,,,,8j3n4
ALIMENTOS SAN AGUSTIN,,,,,3y7t6
CAMARA NACIONAL DE COMERCIO,,,,,8r2q4
FAVILA GRUP,,,,,3d9l8
SUMITOMO,,,,,7r9c5
TUPPER WARE,,,,,0l1f4
OXXO GAS,,,,,1b6h2
MAESE INGENIERIA,,,,,8b6s6
